Русское слово,Ительменское слово
горбуша,gorbuskeʔ сущ; qewuč сущ; qefč сущ с.
гордиться,gordeʔɬ- неп
гордый,gordoj прил
горе,əmč'əmč' сущ
горевать,əmč'la- неп
горелое место,k'wak'wum сущ
гореть,k'wak'- п1; lu- неп
гореть сильно,krəwat- неп; okrat- неп
горечь,əmč'əmč' сущ
горизонт,gorizont сущ
гористая местность,ŋejŋal сущ
гористый,kinziin прил
горло,k'ik' сущ
горловой вырез одежды,k'ik' сущ
горностай,iʔnaq сущ
горный,ŋejŋeʔin прил
горный баран,qtep сущ
горный хребет,ŋejŋal сущ
город,atnom сущ; gorod сущ
горсть,manzesx сущ; pklel- п2; pklel сущ; pklelsxen- неп
гортань,k'ik'əlwič сущ
горчить,kre- неп; əmč'a- неп
горшок,aʔaɬo- неп
горы,ŋejŋal сущ
горы подошва,čoɬxən сущ
горький,əmč'laχ прил
горько,əmč'aq(a) межд; əmč'q нареч
горячая,qilxem сущ
горячий,xkalaχ прил
горячиться,čən- неп
горячо,xkaq нареч
горячо!,akika межд
Господь,Аjerem сущ
гостей принимать,qez- п2
гостинец,gostint͡saʔ сущ
гостиница,etχelnom сущ
гостить,itχil- неп; nəmtele- неп
гость,ʷt'uɬχ сущ
государство,gosudarstwo сущ
готовить,napraw- п1
грабить,č'eqaɬil- п1
грабли,grabʎaʔ сущ
гражданин,graʐdanin сущ
грамотный,nmitqen прил; ntitilaχ прил
граница,granit͡saʔ сущ
гребень,txəmtx сущ
грелка,nəčoɬaɬnŏŋ сущ
греметь,gromeʔɬ- неп; xӑrwӑrwa- неп; xirwirwi- неп; ənxerwerwe- п1
грести,ɲewɲeʔlkas неп; tew- неп; tejme- неп
греть,noma- п1
греться,omkaw- неп; omɬxat- неп; sokara- неп; čo- неп
грех,ečk'ečk' сущ
грешить,ečk'eɬ- неп
грешный,ečk'elaχ прил
гриб,qponom сущ
гриб-дождевик,ipeseseqəl сущ
гроза,groza сущ
грозить,əntɬŋa- п1
гром,xӑrwӑrwač сущ
громкий,ŋačk'ellaχ прил
громко,ŋačk'elq нареч
громко кричать,čxča- неп
громогласно,tepəl нареч
грохот,xӑrwӑrwač сущ
грубить,ɬeruŋ- неп; tajŋa- неп
грудина,tiŋrel сущ
грудная клетка,maɬaw сущ; nita сущ
грудной ласт нерпы,t'k'oxč сущ
грудной ребёнок,miʎačχ сущ
грудь,"wajatər nap., сущ"
грудь животного,tiŋrel сущ
груз,imɬ сущ
груз навьючивать,imɬti- неп
грузило для сети,wač сущ
грузить,niŋ- п1
грузиться,niŋ- неп; niŋit- неп; niŋiʔɬ- неп
грузовая нарта,argis сущ
грустить,makoʔɬ- неп
грустный,makoʔlaχ прил
грусть,makoʔɬes сущ
грызть,čxq'el- неп; čxq'el- п1; č'al- неп; č'al- п1
грызть орехи,kaɬimto- неп; kuneʔɬ- неп
грядка,grяdka сущ
грязнуля,č'aɬaq сущ; əlk'si сущ
грязный,imɬlaχ прил; ič'k'elaχ прил; fillalaχ прил; čiŋuqelaχ прил; əlk'silaχ прил; əlk'si прил
грязь,keɬč'al сущ
грязью покрываться,keɬč'alti- неп
губа,k'elfɬeŋ сущ
гудеть,ənzlet- п1
гулять,ɬale- неп
гурьбой,quɲeŋ нареч
гусеница,lwəlf сущ
густая масса,woχaqəl сущ
густеть,č'imsqe- неп
густое раскидистое дерево,tomlaχ прил
давать кому-либо работу,ɬinwetat- п1
давать указания,əlʔiɬ- п1
давить,t'q'ni- п2; əmptqe- п1
давить кого-либо что-либо,t'q'ni- п2; t'q'nete- п2
давиться,oŋ- неп
давиться пищей,it'emɬ- неп
давний,it'enan прил; it'enowan прил с.; it'eʔan прил с.
давно,qaʔt it'e нареч
даже,tewut нареч; teɬwe нареч
дай,qoɬ межд
далекий,t'aɬʔan прил
далёкий,meč'aʔan прил
далеко,meč'aŋ нареч с.; t'aɬk нареч
далеко (где),meč'ak нареч
далеко (куда),meč'ake нареч
далеко (туда),t'aɬke нареч
далеко друг от друга,eʔlq нареч
далеко от берега,χaqoq нареч
дальневосточная лилия,opsanka сущ
густой,məsxtlaχ прил;
дальний,meč'aʔan прил; tomlaχ прил; ʷtəmlaχ прил; č'imslaχ прил
гусь,qsas сущ; fijas сущ; χeqsas сущ
гусь маленький,qeʔris сущ
гусь-вожак,fijas сущ
да,liɬi межд; ee межд
давай!,qle межд
давайте,xatta межд
давать,zil- п1; inkil- п1
давать дорогу,ksota- неп
давать знак,awela- п1
давать имя,χelaʔɬ- t'aɬʔan п1
дальше,t'aɬxkmiŋk нареч
дальше от берега,nenomk нареч
дань,jasaq сущ
дарить,zil- п1
дающий мало,k'aŋansa прил
два,kasχ числ
рыбы,mantχzesχ сущ
дверца ловушки запора,čamčam сущ
дверца ловушки-«морды»,sxzəm сущ; č'zeŋč сущ с.
дверь,nuč сущ
дверь подпирать,usk'ŋ- п1
двигать,tniɬ- п1; ənsč'ella- п1
двигаться,sč'el- неп
двор,dwor сущ
двухлентий лахтак,kewew сущ
двухлетняя нерпа,əmpquwəl сущ
деваться,iti- неп
деверь,inpuɲɬχ сущ
девка,d'efka сущ
девочка,ʎaŋe сущ; ʎaŋečχ сущ; ekuʎuʂkačχ сущ
девочка-подросток,ekečχ сущ
девушка,d'efka сущ; ʎaŋe сущ; ekečχ сущ
девять,čaʔaktanak числ
дед,mitx сущ
дедушка,d'ed'učχ сущ; tnakol сущ
дежурить,dezuriʔɬ- неп
дежурный,dezurnoj сущ
действительно вправду,iqax нареч
действуй,qle межд
декабрь,d'ekabr сущ
делать,sk- п1; č'el- п2; č'eli- п2; ənsŋet- п1
делать запасы,kaŋɬ- неп
делать запасы сараны,toɬ- неп
делать зарубки,kəlwa- п1
делать назло,ɬisxepi- неп
делать по большому,poqɬ- неп
делать привал,əlχt- неп
делать стрелы,kaɬxɬ- неп
делать толкушу,silqeʔɬ- неп
помощи,ɬwa- неп
делаться,sk- неп
делаться мягче,əltse- неп
делаться ниже,izuse- неп
делегат,dеlеgat сущ
делить,deʎi- п1
делить(ся),deʎiʔɬ- неп
дело,skəs сущ
день,qɬχӑl сущ
деньги,upk'eʔl сущ
депутат,dеputat сущ
дергать,txnetzo- неп; txnetzo- п1
многократно,k'emmatzo- п2
дергаться,aŋqan it- неп
дерева верхушка,oɬxen сущ
деревенский,atnoʔan прил
деревня,atnom сущ; titqs сущ
дерево,uʔ сущ
дерево раскидистое,tomlaχ прил
деревушка,titqsčaχ сущ
печи,opečik сущ
сетей,oxp сущ
деревянная мешалка,setk' сущ
кладей,msetenəŋ сущ
приготовления толкуши,ʷqepx сущ
деревянный крючок,qaʔnantaʔnŏŋ сущ
деревяшка,upk'el сущ
держать,inənk- неп; ənlolat- п1; ənlu- п1; ənlut- п1
держать кого-либо за волосы,k'immat- п2
держать у себя что-либо,txons- п1
держаться,zəl- неп
дёрн,kisxt сущ
десна,čiŋzin сущ
десять,towassa числ
деталь запора,toʔses сущ
деталь нарты,ampaʔnom сущ; anpen сущ; insxuʔŋenəŋ сущ; kinar сущ; uttuwalŋən сущ; č'rustənəŋ сущ
деталь рыбного запора,t'izeŋ сущ
детвора,ɲeʔɲsxč'eʔn сущ
детей нянчить,kmeŋet- неп; kust- неп
добывать,ɬəm- неп
добывать (на охоте) постоянно,ɬmezo- неп
добывать на охоте,ɬme- неп;
детеныш нерпы акибы,ɬəm- fittaj п1
детская игрушка,tənk'el сущ
детская обувь,pekeʔɲč сущ
детские торбаза,pekeʔɲč сущ
детский комбинезон,kalŋakerčaχ сущ с.; ŋawkeračχ сущ
дешёвый,dеʂowoj прил
диаметр,kotwərwən сущ
дикий,d'ikoj прил
дикий картофель,lqlam сущ
дикий лук,luqujŋin сущ
дикий олень,lwəlx сущ
"дикий олень, самец",χiwŋelan сущ
дикий хмель,usqensx сущ
диктант,diktant сущ
дитя,p'eč сущ
длина,ewlwӑrwӑn сущ
длинная щека запора,iwəlt'izeŋ сущ
длиннее становиться,iwlsi- неп
длинно,iwlq нареч
длинный,iwlaχ прил
для себя класть,əzzu- неп
для чего,ӑŋqaneʔsx мест
дневать,əlχt- неп
дневник,dnеwnik сущ
днём,qɬχle нареч
дно,pet сущ; pet сущ
до свидания,teŋq нареч
добавлять,tɬem- п1
добраться,inxɬ- неп
добро,melmel сущ; teŋq нареч
добрый,qečilaχ прил; mellaχ прил; teŋlaχ прил
довольно,qeč'eɬ нареч; əmkem нареч
догадываться,uzenx- неп
догонять,aɲtzəl- неп; tzəl- п2; čzel- п2
догорать,ɬf- неп
доедать,əmpɬ- неп
доехать,inxɬ- неп
дождевик,ukeɲɬ сущ
дождить,čf- неп
дождить с перерывами,čfit- неп
дождить слегка,čfala- неп
дождливый,kčfʔin прил
дождь,čufčuf сущ
доить,doje- п1; dojeʔɬ- неп
дойти,inxɬ- неп
долг,zilknen сущ; elfsenŏm сущ; enfsekot сущ
долгий,iwlaχ прил
долго,diwneʔ нареч; iwlq нареч; nura нареч с.; əmkem нареч
должен,nada нареч
дом,kist сущ
дом заброшенный,kistaqol сущ
дом запирать,χəlqepet- п1
дом обложенный дермом,ktxəmra сущ
дом осматривать,č'et- п1
дом строить,ɬtaroŋ- неп
домашний,kisteʔin прил
домашними делами заниматься,ratawat- неп
домашняя обувь,sfunk'uzweʔn сущ
домишко,kistaj сущ
домой,kestanke сущ
домой приносить,inskɬ- неп; inskɬit- неп
домоправитель,ratawetlan сущ
домохозяйка,ratawetlan сущ
допивать,əmpɬ- неп
дорога,ktχӑs сущ
дорогу провешивать,ililet- п1
дорожная еда,sisxeŋeč сущ
дорожный знак,ilileč сущ
досаждать,əmč'k'eli- п1; ənχaqaŋe- п1
доска,doskaʔ сущ; qatolaχ сущ
сердцевины кипрея,wiwes сущ с.; əlxpʔjoɬxən сущ с.
ховой обуви,čniʎeʔnəŋ сущ
доска нарты,fiwis сущ
ки кипрея,amčqewalaŋ сущ
доставать,əlʔe- п2; ensf- неп
доставлять,əlʔe- п2
либо,ɬink'eneziŋ- п1
"вверх, против течения",tӑlfs- п1
достаточно,qeč'eɬ нареч
достать что-либо,əlʔata- п2
