слово,диалект,фонетический вариант,северный диалектный вариант,часть речи,грамматические пометы,инфинитив,множественное число,общее число,толкование,ссылка,,,,,,
баран,,,,существительное,,,баранаʔн,,1) лежачий баран нарты (горизонтальная дуга); 2) снежный баран,,,,,,,
богачӽ,,,,существительное,,,богаʔњч,,"бог (русск.), икона",,,,,,,
ботинкалӈән,,,,существительное,,,ботинкаʔн,,ботинки,,,,,,,
бочкаʔ,,,,существительное,,,бочкаʔн,,бочка,,,,,,,
браваԓаӈӄ,,,,наречие,,,,,по-хорошему,,,,,,,
браво,,,,наречие,,,,,"хорошо, отлично, превосходно",браваԓаӈӄ,,,,,,
бравой,,,,прилагательное,,,,,хороший,,,,,,,
бригада,,,,существительное,,,бригадаʔн,,бригада,,,,,,,
бротнэʔн,,,,существительное,,,,,"бродни (заимств. русск.) длинные сапоги из шкур шерстью вниз, выстриженной",,,,,,,
брэвноʔ,,брэвнэ,,существительное,,,брэвноʔн,,бревно,,,,,,,
букваʔ,,,,существительное,,,букваʔн,,буква,,,,,,,
букиска,,,,существительное,,,букискаʔн,,"букашка; возм. черт, злой дух",,,,,,,
булкаʔ,,,,существительное,,,булкаʔн,,булка,,,,,,,
бумагаʔ,,,бумак,существительное,,,бумагаʔн,,бумага,,,,,,,
бусиʔԓ-,,,,глагол,непереходный,босэʔԓкас,,,моросить (мелкий дождь),,,,,,,
бутылкаʔ,,,,существительное,,,бутылкаʔн,,бутылка,,,,,,,
быстрой,,,,прилагательное,,,,,быстрый,,,,,,,
бэвэ-,,,,глагол,непереходный,бэвэкас,,,"реветь (медведь, бык, вообще зверь) (звукоподраж.)",,,,,,,
бэлкаʔ,,,,существительное,,,бэлкаʔн,,белка,,,,,,,
бэљи-,,,,глагол,переходный1,бэљэс,,,белить что-л.,бэљиʔԓ-,,,,,,
бэток,,,,существительное,,,бэтокаʔн,,приспособление для собирания ягод; конусообразный берестяной или жестяной короб для сбора голубики,,,,,,,
вайатәр,,,,существительное,,,,,"грудь (как часть тела, которой дышат) (человек, зверь, птица)",,,,,,,
вайла-,,,,глагол,непереходный,вайлакэс,,,торопиться,,,,,,,
вайма,,нвайма-,,наречие,,,,,весело,,,,,,,
ваймаӈто-,,,,глагол,непереходный,ваймаӈтокас,,,веселиться; развлекаться,,,,,,,
валаʔн,,,,существительное,,,same,,"волны, морская зыбь",,,,,,,
валвачӽ,,валвач,,существительное,,,"валваʔњч, валвачэʔн",,уточка,,,,,,,
валэʔԓ-,,,,глагол,непереходный,валэʔԓкас,,,"штормить, волноваться (русский «вал»)",,,,,,,
ваљэнкалӈән,,,,существительное,,,ваљэнкаʔн,,валенки,,,,,,,
ваԓч,,,,существительное,,,,,нож,,,,,,,
ванк,,,,наречие,,,,,"1) вверху, наверху; 2) над",,,,,,,
ванчк,,,,наречие,,,,,"вверх, наверх",,,,,,,
ваӈэ-,,,,глагол,переходный1,ваӈэс,,,"вышивать, украшать вышивкой что-либо",ваӈэ-,ваӈэч,ваӈэʔԓ-,,,,
ваӈэ-,,,,глагол,непереходный,ваӈэкас,,,"шить красиво, вышивать, украшать вышивкой",ваӈэ-,ваӈэч,ваӈэʔԓ-,,,,
˚вапкʼол,,вапкʼәл,,существительное,,,˚вапкʼоʔл,,"камень (несколько большего размера, чем вач)",,,,,,,
вапӄ,,вэпӄ,,существительное,,,вапӄаʔн,,мухомор,,,,,,,
варжин,,,,существительное,,,варжинаʔн,,"варженка (деталь нарты): род перил, чтобы удержать груз",,,,,,,
варнасӽӄ,,,,существительное,,,варнасӽӄэʔн,,"старьё, тряпье, барахло",,,,,,,
варнаʔн,,,,существительное,,,same,,"одежда, постель, всякое меховое и матерчатое имущество",,,,,,,
ват-,,,,глагол,непереходный,ваткас,,,"обессиливать, выбиваться из сил (от долгой ходьбы)",ватсхэн-,,,,,,
ватскʼэ,,,,существительное,,,ватскʼэʔн,,"худое, полудохлое животное (медведь, собака, лошадь, корова и т.п.)",,,,,,,
ватсхэн-,,,,глагол,непереходный,ватсхэнкас,,,выбиваться из сил (многократно),,,,,,,
ватэ-,,,,глагол,непереходный,ватэкас,,,окаменеть,,,,,,,
ватʼсӽ,,,,существительное,,,ватʼсӽаʔн,,морской конек,,,,,,,
вахнэʔ,,,,существительное,,,вахнэʔн,,навага (русск. вахня),,,,,,,
вач,,,коф,существительное,,,ваʔн,,1) камень; 2) грузило для сети,ватэ-,ваʔан,кваʔан,,,,
вачэʔн,,,,существительное,,,,,камусные штаны мехом наружу,,,,,,,
ваʔал,,,,существительное,,,,,пустыня (уединенное место),,,,,,,
ваʔан,,,,прилагательное,,,,,каменный,,,,,,,
взаймаʔ,,,,наречие,,,,,взаймы,,,,,,,
ви-,,,,глагол,непереходный,,,,"плыть по течению, течь",,,,,,,
вивэс,,,әњчсӄайолӈән,существительное,,,,, 1) доска; 2) доска для обработки сердцевины кипрея,,,,,,,
видрэʔ,,видраʔ,әњԓиӈ,существительное,,,видрэʔн,,выдра,,,,,,,
вий-,,,,глагол,непереходный,вийкэс,,,дуть,,,,,,,
вил-,,,ил- ,глагол,переходный1,вэлэс,,,пить что-либо,вил-,вилэт-,,,,,
вил-,,,ил- ,глагол,непереходный,вэлкас,,,пить,вил-,вилэт-,,,,,
вилвэл,,,,существительное,,,,,заквашенная рыба,,,,,,,
вилзано-,,,,глагол,непереходный,вэлзанокас,,,"напиваться допьяна, пьянствовать",,,,,,,
вилном,,,,существительное,,,вилноʔн,,"питье, напиток",,,,,,,
виләӈ,,,,существительное,,,,,"невод, сеть",,,,,,,
вилэт-,,,,глагол,непереходный,вэлэткас,,,"пить часто, много; пить до конца",,,,,,,
вилэт-,,,,глагол,непереходный,вэлэтэс,,,платить (шаману за лечение),вэлэтном,,,,,,
виљчу-,,,,глагол,непереходный,вэљчукэс,,,торговать,,,,,,,
виԓикʼэчӽ,,,,существительное,,,виԓикʼэњч,,голец,,,,,,,
вимсх,,,йимсх,существительное,,,,,женщина,,,,,,,
˚вирњик,,,,существительное,,,вирњикэʔн,,"зверь (вообще), зверь как предмет охоты",,,,,,,
висхуʔн,,,,существительное,,,,,повседневная весенне-осенняя обувь,,,,,,,
вит-,,,,глагол,непереходный,вэткэс,,,плавать,,,,,,,
витвит,,,,существительное,,,,,нерпа,,,,,,,
внэ,,,,местоимение,,,,,"он сам, она сама",,,,,,,
водьэрэн,,,,наречие,,,,,"всегда, все время",,,,,,,
войданәӈ,,,,существительное,,,,,"кусок меховой шкурки, предназначенный для смачивания полозьев нарты",,,,,,,
волвол,,,,существительное,,,воʔл,,напёрсток,,,,,,,
волвос-,,,,глагол,переходный1,волвосэс,,,"выташнивать, выблевывать что-либо",волвос-,,,,,,
волвос-,,,,глагол,непереходный,волвоскас,,,тошнить,волвос-,,,,,,
