Ительменское слово,Русское слово
nəmt'l- п1,глотать
nəfəlk'a- неп,глотать
tχlete- п1,глотать
ənfilk'a- п1,глотать жадно
nəfəlk'a- неп,глотать с жадностью
iʔnum сущ,глоток воды
iluketə- неп,глохнуть
amwarwan сущ,глубина
ʷamʔam сущ,глубина
ʷam- А,глубокий
ʷamlaχ прил,глубокий
ʷam- А,глубоко
ʷamq нареч,глубоко
ʷamʔam сущ,глубокое место
wəlpu сущ,глупец
aloqɬč'əm сущ,глухарь
ʷkŭnxt сущ,глухарь
kənfs сущ,глухарь
aloqɬč'əm сущ,глухой
ajtat- п1,гнать
imzateʔɬe- п1,гнать рыбу в запор
čanzo- п1,гнаться
χaqanwarwan сущ,гнев
χeqewjep сущ,гнев
aʔasx- неп,гнездиться
ʷaʔasx сущ,гнездо
xunwun сущ,гнида
suq- неп,гнить
suqet- неп,гнить
t'ɬa- неп,гнить
ŋilkti- неп,гноиться
sk'alte- неп,гноиться
ŋilkŋilk сущ,гной
sk'al сущ,гной
sk'alemč сущ,гнойник
čemejke сущ,гнус
ʷnaɬ- п1,гнуть
ʷnaɬ- неп,гнуться
anla- неп,говорить
krweɬxet- неп,говорить
la- п2,говорить
ɬo- п1,говорить
χene- неп,говорить
sel- неп,говорить во сне
ənʔi- п1,говорить серьезно
ngukunguku сущ,гоголи
god сущ,год
qečiɬan прил,годный
sχniŋ сущ,голенище торбаса
wiɬik'ečχ сущ с. ,голец
wəɬč сущ с. ,голец
sistxil сущ,голец
fačq сущ,голец
fiɬik' сущ,голец
fɬič сущ,голец
čuperk'e сущ,голец запеченный
ket'il сущ,голец мелкий
ktxiŋ сущ,голова
kəmt'qol сущ с. ,голова
čaqol сущ,голова
lič сущ с. ,голова рыбы
xewlič сущ,голова рыбы
sitɬx сущ,головешка
t'ozmaʔn сущ,головки торбазов
aʔjuwʔaj сущ,головной мозг
čaqolt'əl сущ,головы часть
pilwepil сущ,голод
ksxlit- неп,голодать
pilwit- неп,голодать
pilwepilʔan сущ,голодающий
ksxlətnom сущ,голодное место
ksxlət'in прил,голодный
golos сущ,голос
liŋil сущ,голубика
leŋelnom сущ,голубика
fiɬikečχ сущ,гольчик
ančanzoʔɬ- неп,гоняться
namud сущ Ю. ,гора
ŋejŋe сущ,гора
izuse- неп,горбиться
qewčeʔɬ- неп,горбиться
pesčkɬ- неп,горбиться
txap- неп,горбиться
gorbuskeʔ сущ,горбуша
qewuč сущ,горбуша
qefč сущ с. ,горбуша
gordeʔɬ- неп,гордиться
gordoj прил,гордый
əmč'əmč' сущ,горе
əmč'la- неп,горевать
k'wak'wum сущ,горелое место
k'wak'- п1,гореть
lu- неп,гореть
krəwat- неп,гореть сильно
okrat- неп,гореть сильно
əmč'əmč' сущ,горечь
gorizont сущ,горизонт
ŋejŋal сущ,гористая местность
kinziin прил,гористый
k'ik' сущ,горло
k'ik' сущ,горловой вырез одежды
iʔnaq сущ,горностай
ŋejŋeʔin прил,горный
qtep сущ,горный баран
ŋejŋal сущ,горный хребет
atnom сущ,город
gorod сущ,город
manzesx сущ,горсть
pklel- п2,горсть
pklel сущ,горсть
pklelsxen- неп,горсть
k'ik'əlwič сущ,гортань
kre- неп,горчить
əmč'a- неп,горчить
aʔaɬo- неп,горшок
ŋejŋal сущ,горы
čoɬxən сущ,горы подошва
əmč'laχ прил,горький
əmč'aq(a) межд,горько
əmč'q нареч,горько
qilxem сущ,горячая
xkalaχ прил,горячий
čən- неп,горячиться
xkaq нареч,горячо
akika межд,горячо!
Аjerem сущ,Господь
qez- п2,гостей принимать
gostint͡saʔ сущ,гостинец
etχelnom сущ,гостиница
itχil- неп,гостить
nəmtele- неп,гостить
ʷt'uɬχ сущ,гость
gosudarstwo сущ,государство
napraw- п1,готовить
č'eqaɬil- п1,грабить
grabʎaʔ сущ,грабли
graʐdanin сущ,гражданин
nmitqen прил,грамотный
ntitilaχ прил,грамотный
granit͡saʔ сущ,граница
txəmtx сущ,гребень
nəčoɬaɬnŏŋ сущ,грелка
gromeʔɬ- неп,греметь
xӑrwӑrwa- неп,греметь
xirwirwi- неп,греметь
ənxerwerwe- п1,греметь
ɲewɲeʔlkas неп,грести
tew- неп,грести
tejme- неп,грести
noma- п1,греть
omkaw- неп,греться
omɬxat- неп,греться
sokara- неп,греться
čo- неп,греться
ečk'ečk' сущ,грех
ečk'eɬ- неп,грешить
ečk'elaχ прил,грешный
qponom сущ,гриб
ipeseseqəl сущ,гриб-дождевик
groza сущ,гроза
əntɬŋa- п1,грозить
xӑrwӑrwač сущ,гром
ŋačk'ellaχ прил,громкий
ŋačk'elq нареч,громко
čxča- неп,громко кричать
tepəl нареч,громогласно
xӑrwӑrwač сущ,грохот
ɬeruŋ- неп,грубить
tajŋa- неп,грубить
tiŋrel сущ,грудина
maɬaw сущ,грудная клетка
nita сущ,грудная клетка
t'k'oxč сущ,грудной ласт нерпы
miʎačχ сущ,грудной ребёнок
"wajatər nap., сущ",грудь
tiŋrel сущ,грудь животного
imɬ сущ,груз
imɬti- неп,груз навьючивать
wač сущ,грузило для сети
niŋ- п1,грузить
niŋ- неп,грузиться
niŋit- неп,грузиться
niŋiʔɬ- неп,грузиться
argis сущ,грузовая нарта
makoʔɬ- неп,грустить
makoʔlaχ прил,грустный
makoʔɬes сущ,грусть
čxq'el- неп,грызть
čxq'el- п1,грызть
č'al- неп,грызть
č'al- п1,грызть
kaɬimto- неп,грызть орехи
kuneʔɬ- неп,грызть орехи
grяdka сущ,грядка
č'aɬaq сущ,грязнуля
əlk'si сущ,грязнуля
imɬlaχ прил,грязный
ič'k'elaχ прил,грязный
fillalaχ прил,грязный
čiŋuqelaχ прил,грязный
əlk'silaχ прил,грязный
əlk'si прил,грязный
keɬč'al сущ,грязь
keɬč'alti- неп,грязью покрываться
k'elfɬeŋ сущ,губа
ənzlet- п1,гудеть
ɬale- неп,гулять
quɲeŋ нареч,гурьбой
lwəlf сущ,гусеница
woχaqəl сущ,густая масса
č'imsqe- неп,густеть
tomlaχ прил,густое раскидистое дерево
ɬinwetat- п1,давать кому-либо работу
əlʔiɬ- п1,давать указания
t'q'ni- п2,давить
əmptqe- п1,давить
t'q'ni- п2,давить кого-либо что-либо
t'q'nete- п2,давить кого-либо что-либо
oŋ- неп,давиться
it'emɬ- неп,давиться пищей
it'enan прил,давний
it'enowan прил с. ,давний
it'eʔan прил с. ,давний
qaʔt it'e нареч,давно
tewut нареч,даже
teɬwe нареч,даже
qoɬ межд,дай
t'aɬʔan прил,далекий
meč'aʔan прил,далёкий
meč'aŋ нареч с. ,далеко
t'aɬk нареч,далеко
meč'ak нареч,далеко (где)
meč'ake нареч,далеко (куда)
t'aɬke нареч,далеко (туда)
eʔlq нареч,далеко друг от друга
χaqoq нареч,далеко от берега
opsanka сущ,дальневосточная лилия
məsxtlaχ прил,густой
meč'aʔan прил,дальний
tomlaχ прил,дальний
ʷtəmlaχ прил,дальний
č'imslaχ прил,дальний
qsas сущ,гусь
fijas сущ,гусь
χeqsas сущ,гусь
qeʔris сущ,гусь маленький
fijas сущ,гусь-вожак
liɬi межд,да
ee межд,да
qle межд,давай!
xatta межд,давайте
zil- п1,давать
inkil- п1,давать
ksota- неп,давать дорогу
awela- п1,давать знак
χelaʔɬ- t'aɬʔan п1,давать имя
t'aɬxkmiŋk нареч,дальше
nenomk нареч,дальше от берега
jasaq сущ,дань
zil- п1,дарить
k'aŋansa прил,дающий мало
kasχ числ,два
mantχzesχ сущ,рыбы
čamčam сущ,дверца ловушки запора
sxzəm сущ,дверца ловушки-«морды»
č'zeŋč сущ с. ,дверца ловушки-«морды»
nuč сущ,дверь
usk'ŋ- п1,дверь подпирать
tniɬ- п1,двигать
ənsč'ella- п1,двигать
sč'el- неп,двигаться
dwor сущ,двор
kewew сущ,двухлентий лахтак
əmpquwəl сущ,двухлетняя нерпа
iti- неп,деваться
inpuɲɬχ сущ,деверь
d'efka сущ,девка
ʎaŋe сущ,девочка
ʎaŋečχ сущ,девочка
ekuʎuʂkačχ сущ,девочка
ekečχ сущ,девочка-подросток
d'efka сущ,девушка
ʎaŋe сущ,девушка
ekečχ сущ,девушка
čaʔaktanak числ,девять
mitx сущ,дед
d'ed'učχ сущ,дедушка
tnakol сущ,дедушка
dezuriʔɬ- неп,дежурить
dezurnoj сущ,дежурный
iqax нареч,действительно вправду
qle межд,действуй
d'ekabr сущ,декабрь
sk- п1,делать
č'el- п2,делать
č'eli- п2,делать
ənsŋet- п1,делать
kaŋɬ- неп,делать запасы
toɬ- неп,делать запасы сараны
kəlwa- п1,делать зарубки
ɬisxepi- неп,делать назло
poqɬ- неп,делать по большому
əlχt- неп,делать привал
kaɬxɬ- неп,делать стрелы
silqeʔɬ- неп,делать толкушу
ɬwa- неп,помощи
