Русское слово,Ительменское слово,Часть речи
грелка,нәчоԓаԓнŏӈ,сущ
греметь неп; неп; хирвирви- неп;,громэʔԓ-; хӑрвӑрва-; әнхэрвэрвэ-,п1
грести неп; тэв- неп;,њэвњэʔлкас; тэймэ-,неп
греться омкав- неп; неп;,омԓхат-,
грех,эчкʼэчкʼ,сущ
грешить,эчкʼэԓ-,неп
грешник,эчкʼэԓкиԓӽ,
грешный,эчкʼэлаӽ,прил
гриб,ӄпоном,сущ
гриб-дождевик,ипэсэсэӄәл,сущ
грозить,әнтԓӈа-,п1
гром,хӑрвӑрвач,сущ
громкий,ӈачкʼэллаӽ,прил
громко,ӈачкʼэлӄ,нареч
громогласно,тэпәл,нареч
грохот,хӑрвӑрвач,сущ
грубить неп;,ԓэруӈ-; тайӈа-,неп
грудина,тыӈрэл,сущ
грудная клетка сущ;,маԓав,
грудной ласт нерпы,тʼкʼохч,сущ
грудной ребёнок,миљачӽ,сущ
"грудь нап.,",вайатәр,сущ
грудь животного,тыӈрэл,сущ
груз,имԓ,сущ
груз навьючивать,имԓты-,неп
грузить,ныӈ-,п1
грузиться неп; неп;,ныӈ-; ныӈит-; ныӈиʔԓ-,неп
грустить,макоʔԓ-,неп
грустный,макоʔлаӽ,прил
грусть,макоʔԓэс,сущ
грызть неп; п1; неп;,чхӄʼэл-; чхӄʼэл-; чʼал-; чʼал-,"п1, п1"
грызть орехи неп;,каԓимто-; кунэʔԓ-,неп
грязнуля сущ;,чʼаԓаӄ; әлкʼси,сущ
грязный прил;,имԓлаӽ; ичʼкʼэлаӽ,
прил; прил; прил;,филлалаӽ; чиӈуӄэлаӽ; әлкʼсилаӽ,
прил;,әлкʼси,прил
грязь,кэԓчʼал,сущ
грязью покрываться,кэԓчʼалты-,неп
губа,кʼэлфԓэӈ,сущ
гудеть,әнзлэт-,п1
гулять,ԓалэ-,неп
гурьбой,ӄуњэӈ,нареч
гусеница,лвәлф,сущ
густая масса,воӽаӄәл,сущ
густеть,чʼимсӄэ-,неп
густое раскидистое дерево,томлаӽ,прил
давать кому-либо работу,ԓинвэтат-,п1
давать указания,әлʔиԓ-,п1
давить п2;,тʼӄʼны-; әмптӄэ-,п1
давить кого-либо что-либо п2;,тʼӄʼны-; тʼӄʼнэтэ-,п2
давиться,оӈ-,неп
давиться пищей,итʼэмԓ-,неп
давний прил;,итʼэнан; итʼэнован,
прил с.;,итʼэʔан,прил
давно,ӄаʔт; итʼэ,нареч
даже нареч;,тэвут; тэԓвэ,нареч
дай,ӄоԓ,межд
далекий,тʼаԓʔан,прил
далёкий,мэчʼаʔан,прил
далеко с.;,мэчʼаӈ; тʼаԓк,"нареч, нареч"
далеко (где),мэчʼак,нареч
далеко (куда),мэчʼакэ,нареч
далеко (туда),тʼаԓкэ,нареч
далеко друг от друга,эʔлӄ,нареч
далеко от берега,ӽаӄоӄ,нареч
густой прил;,мәсхтлаӽ,
дальний прил; прил; прил;,мэчʼаʔан; томлаӽ; ˚тәмлаӽ; чʼимслаӽ,прил
гусь сущ; фийас сущ;,ӄсас; ӽэӄсас,сущ
гусь маленький,ӄэʔрис,сущ
да межд; ээ,лыԓи,
давай!,ӄлэ,межд
давать знак,авэла-,п1
давать имя,ӽэлаʔԓ-; тʼаԓʔан,"п1, прил"
дальше,тʼаԓхкмиӈк,нареч
дальше от берега,нэномк,нареч
дань,йасаӄ,сущ
дающий мало,кʼаӈанса,прил
два числ,касӽ,
рыбы,мантӽзэсӽ,сущ
дверца ловушки-«морды»,схзәм,
сущ;,чʼзэӈч,сущ
дверь подпирать,ускʼӈ-,п1
двигать п1;,тныԓ-; әнсчʼэлла-,п1
двигаться,счʼэл-,неп
двухлентий лахтак,кэвэв,сущ
двухлетняя нерпа,әмпӄувәл,сущ
деверь,инпуњԓӽ,сущ
девочка сущ; сущ;,љаӈэ; љаӈэчӽ; экуљушкачӽ,сущ
девочка-подросток,экэчӽ,сущ
девушка дьэфка сущ; сущ;,љаӈэ; экэчӽ,сущ
девять числ,чаʔактанак,
дедушка сущ;,дьэдьучӽ,
дежурить,дэзуриʔԓ-,неп
дежурный,дэзурной,сущ
действительно вправду,иӄах,нареч
действуй,ӄлэ,межд
делать ск- п1; п2; п2;,чʼэл-; чʼэлы-; әнсӈэт-,п1
делать запасы,каӈԓ-,неп
делать запасы сараны,тоԓ-,неп
делать зарубки,кәлва-,п1
делать назло,ԓисхэпи-,неп
делать по большому,поӄԓ-,неп
делать привал,әлӽт-,неп
делать стрелы,каԓхԓ-,неп
делать толкушу,силӄэʔԓ-,неп
помощи,ԓва-,неп
делаться мягче,әлтсэ-,неп
делаться ниже,изусэ-,неп
делить,дэљи-,п1
делить(ся),дэљиʔԓ-,неп
дело,скәс,сущ
день,ӄԓӽӑл,сущ
деньги,упкʼэʔл,сущ
дергать неп;,тхнэтзо-; тхнэтзо-,"п1, п1"
многократно,кʼэмматзо-,п2
дергаться ит-,аӈӄан,
дерева верхушка,оԓхэн,сущ
деревенский,атноʔан,прил
деревня атном сущ;,тытӄс,сущ
дерево,уʔ,сущ
дерево раскидистое,томлаӽ,прил
деревушка,тытӄсчаӽ,сущ
печи,опэчик,сущ
деревянная мешалка,сэткʼ,сущ
кладей,мсэтэнәӈ,сущ
приготовления толкуши,˚ӄэпх,сущ
деревянный,уʔин,
деревянный крючок,ӄаʔнантаʔнŏӈ,сущ
деревяшка,упкʼэл,сущ
держать неп; п1; п1;,инәнк-; әнлолат-; әнлу-; әнлут-,п1
держать кого-либо за волосы,кʼиммат-,п2
держаться,зәл-,неп
десна,чиӈзин,сущ
деталь запора,тоʔсэс,сущ
деталь нарты сущ; сущ; сущ;,ампаʔном; анпэн; инсхуʔӈэнәӈ,
кинар сущ; сущ;,уттувалӈән; чʼрустәнәӈ,сущ
деталь рыбного запора,тʼизэӈ,сущ
детвора,њэʔњсхчʼэʔн,сущ
детей нянчить неп;,кмэӈэт-,
добывать,ԓәм-,неп
добывать (на охоте) постоянно,ԓмэзо-,неп
добывать на охоте неп;,ԓмэ-,
детеныш нерпы акибы,ԓәм-,п1
детская игрушка,тәнкʼэл,сущ
детская обувь,пэкэʔњч,сущ
детские торбаза,пэкэʔњч,сущ
детский комбинезон с.;,калӈакэрчаӽ; ӈавкэрачӽ,"сущ, сущ"
диаметр,котвәрвән,сущ
дикий картофель,лӄлам,сущ
дикий лук,луӄуйӈин,сущ
дикий олень,лвәлх,сущ
"дикий олень, самец",ӽивӈэлан,
дикий хмель,усӄэнсх,сущ
дитя,пʼэч,сущ
длина,эвлвӑрвӑн,сущ
длинная щека запора,ивәлтʼизэӈ,сущ
длинно,ивлӄ,нареч
длинный,ивлаӽ,прил
для себя класть,әззу-,неп
для чего,ӑӈӄанэʔсх,мест
дневать,әлӽт-,неп
днём,ӄԓӽлэ,нареч
до свидания,тэӈӄ,нареч
добавлять,тԓэм-,п1
добраться,инхԓ-,неп
добро сущ;,мэлмэл; тэӈӄ,нареч
добрый прил;,ӄэчилаӽ; мэллаӽ,
прил;,тэӈлаӽ,прил
довольно нареч;,ӄэчʼэԓ; әмкэм,нареч
догадываться,узэнх-,неп
догонять неп; п2;,ањтзәл-; тзәл-; чзэл-,п2
догорать,ԓф-,неп
доедать,әмпԓ-,неп
доехать,инхԓ-,неп
дождевик,укэњԓ,сущ
дождливый,кчфʔин,прил
доить дойэ- п1;,дойэʔԓ-,неп
дойти,инхԓ-,неп
долг сущ; сущ;,зилкнэн; элфсэнŏм; энфсэкот,сущ
долгий,ивлаӽ,прил
долго нареч; нареч;,дивнэʔ; ивлӄ,
нура с.;,әмкэм,нареч
дом заброшенный,кистаӄол,сущ
дом запирать,ӽәлӄэпэт-,п1
дом обложенный дермом,ктхәмра,сущ
дом осматривать,чʼэт-,п1
дом строить,ԓтароӈ-,неп
домашний,кистэʔин,прил
домашняя обувь,сфункʼузвэʔн,сущ
домой,кэстанкэ,сущ
домой приносить неп;,инскԓ-; инскԓит-,неп
домоправитель,ратавэтлан,сущ
домохозяйка,ратавэтлан,сущ
допивать,әмпԓ-,неп
дорога,ктӽӑс,сущ
дорогу провешивать,илылэт-,п1
дорожная еда,сисхэӈэч,сущ
дорожный знак,илылэч,сущ
досаждать п1;,әмчʼкʼэлы-; әнӽаӄаӈэ-,п1
доска сущ;,доскаʔ; ӄатолаӽ,сущ
сердцевины кипрея,вивэс,сущ
с.;,әлхпʔйоԓхән,сущ
ховой обуви,чныљэʔнәӈ,сущ
ки кипрея,амчӄэвалаӈ,сущ
доставать п2; энсф-,әлʔэ-,
доставлять,әлʔэ-,п2
либо,ԓинкʼэнэзиӈ-,п1
"вверх, против течения",тӑлфс-,п1
достаточно,ӄэчʼэԓ,нареч
достать что-либо,әлʔата-,п2
достойный сожаления,лэʔлуӈлаӽ,прил
драться неп;,интхԓ-; лутʼԓхэ-,
драчун,кʼлутʼԓхэʔин;; лутʼԓхэрэм,сущ
древесину заготавливать,оӈта-,неп
древесный нарост,чкәп,сущ
древний прил;,итʼэнан; ӄаʔтʼанан,прил
дремать,ӈапсхат-,неп
дробленая кость,ӽамтала,сущ
дробленка,ӽамтала,сущ
дрова неп;,ӈил-; уʔиʔн,сущ
дрова возить неп;,ӈинсхэʔԓ-; ӈэлхсԓ-,неп
дрожать от холода,ӄитыт-,неп
друг сущ;,ипԓӽ; клэлх,сущ
другой прил; прил; прил; прил;,ӄула; ԓваԓʔан; пԓӽʔин; экʼнын; экʼнэнлаӽ,прил
дружба сущ;,ипԓӽном; эпԓхном,сущ
дружелюбный,ӄэчикэлаӽ,прил
дружественный,ӄэчикэлаӽ,прил
дружина,ипԓӽновал,сущ
дружить неп;,клэлхчэʔԓ-,
досыта наедаться неп;,ӈэйу-; эпԓӽэʔԓ-; чʼэԓэт-,"неп, неп"
дотрагиваться неп;,сӈэза-; сӈэза-,"п1, п1"
дохлая рыба,итӄлач,сущ
дочь,ӈимсхʔин; пʼэч,сущ
дразнить п1;,ԓинчʼуӈ-; ԓэчʼоӈэԓ-,
неп;,әњчʼаӈа-,п1
дразниться неп; неп;,инԓилуʔԓ-; ԓэчʼоӈэԓ-; нанчʼаӈаʔԓ-,неп
драка,лотʼԓхэс,сущ
любовью,клэлхчэʔԓ-,неп
дружок,каԓалхп,сущ
дрыгалка,трэвалка,сущ
дубинка,трэвалка,сущ
дудочка неп; ковом,ковозэл-,
думать п1;,кәʔӈԓ-; ˚кʼэнэзи-,неп
дупло,кԓутԓ,сущ
дурить,дуриʔԓ-,неп
дурно,ӄивэ,нареч
дурной прил;,ӽэӄэлаӽ; эчкʼэлаӽ,прил
дурной сон увидеть,ӽаӄарат-,неп
дуть вий- неп; неп; тлу- п1;,спәл-,
заморозка,хивәс-,неп
дуться неп;,ԓӈаву-; ӽиʔны-,неп
дуться долго,ӽиʔныст-,неп
дух сущ; фчифч,˚кʼэнэзэс,
дух испустить,фчэтапԓ-,неп
дух на реке,сэʔлуп,сущ
духота,ӄумэсәм,сущ
душа ныта сущ; сущ;,фчифчаӽ,
душить неп; п1;,ныкʼупӈиʔԓ-; әнкʼупӈ-; әнпәӈ-,п1
душно,ӈачасӄ,нареч
душный,чʼинчʼилаӽ,прил
душонка,фчифчаӽ,сущ
дым сущ;,ӈачас; ˚тʼитʼим,сущ
дымить неп;,нытʼиʔԓ-; ˚тʼи-,неп
дымиться,˚тʼи-,неп
дымно,ӈачасӄ,нареч
дырявить,нэтԓӄэʔԓ-,неп
дырявый,кпхалʔан,прил
дятел,ӄиӄэчӽ,сущ
