russian,itelmen,part of speech
вышивкой украшать,waŋэ- п1; waŋэʔɬ- неп,multiple translations
вьюга,fjal,сущ
вьюк,korэmt,сущ
вязание сетей,xilχč,сущ
вязанка дров,omtsx,сущ
вязанки вязать,omtat-,п1
вязать,omtsxэnэ-,п1
вязать несколько вязанок,omtat-,п1
вязать сеть,ilwil-,п1
вязка вяленой лососевой икры,intχzэsχ,сущ
вязка гольцов,nэzэsx,сущ
вязок (деталь нарты),qulxum,сущ
вяленая рыба,notan,сущ
вяленое мясо,patol,сущ
вялить,ənk'izwi- п1; ənk'izwit- п1,multiple translations
вянуть,int'q'ɬ- неп; k'isxɬ- неп,multiple translations
гагара,jowaj сущ; qaqaqrэ сущ; uwiq сущ,multiple translations
газ,gaz,сущ
газета,gazetaʔ,сущ
галдеть,čxča-,неп
галопом скакать,χisi-,неп
гасить,noʔŋqaʔɬ-,п1
гаснуть,ɬfэt- неп; oŋq- неп; oŋqsxэn- неп,multiple translations
где,maʔ,мест
геолог,geolog,сущ
гибнуть,iza-,неп
гимн,gimn,сущ
глава,ɬnэs,сущ
гладить,alat- п1; pilk'at- п1,multiple translations
гладить утюгом,gladэʔɬ-,неп
гладкий,iɬχlaχ,прил
гладко,iɬχq нареч; pslaŋsq нареч,multiple translations
глаз,loŋ сущ; ʎaŋočχ сущ,multiple translations
глаза,luʔl,сущ
глазные выделения,əɬč'эrwaʔn,сущ
глас,kэlkэl,сущ
гласный,glasnoj,прил
глотать,nəmt'l- п1; nəfəlk'a- неп; tχlэtэ- п1,multiple translations
глотать жадно,ənfilk'a-,п1
глотать с жадностью,nəfəlk'a-,неп
глоток воды,iʔnum,сущ
глохнуть,ilukэtə-,неп
глубина,amwarwan сущ; ʷamʔam сущ,multiple translations
глубокий,ʷam- А; ʷamlaχ прил,multiple translations
глубоко,ʷam- А; ʷamq нареч,multiple translations
глубокое место,ʷamʔam,сущ
глупец,wəlpu,сущ
глухарь,aloqɬč'əm сущ; ʷkŭnxt сущ; kənfs сущ,multiple translations
глухой,aloqɬč'əm,сущ
гнать,ajtat-,п1
гнать рыбу в запор,imzatэʔɬэ-,п1
гнаться,čanzo-,п1
гнев,χaqanwarwan сущ; χэqэwjэp сущ,multiple translations
гнездиться,aʔasx-,неп
гнездо,ʷaʔasx,сущ
гнида,xunwun,сущ
гнить,suq- неп; suqэt- неп; t'ɬa- неп,multiple translations
гноиться,ŋilkti- неп; sk'altэ- неп,multiple translations
гной,ŋilkŋilk сущ; sk'al сущ,multiple translations
гнойник,sk'alэmč,сущ
гнус,čэmэjkэ,сущ
гнуть,ʷnaɬ-,п1
гнуться,ʷnaɬ-,неп
говорить,anla- неп; krwэɬxэt- неп; la- п2; ɬo- п1; χэnэ- неп,multiple translations
говорить во сне,sэl-,неп
говорить серьезно,ənʔi-,п1
гоголи,ngukunguku,сущ
год,god,сущ
годный,qэčiɬan,прил
голенище торбаса,sχniŋ,сущ
голец,wiɬik'эčχ сущ с.; wəɬč сущ с.; sistxil сущ; fačq сущ; fiɬik' сущ; fɬič сущ,multiple translations
голец запеченный,čupэrk'э,сущ
голец мелкий,kэt'il,сущ
голова,ktxiŋ сущ; kəmt'qol сущ с.; čaqol сущ,multiple translations
голова рыбы,lič сущ с.; xэwlič сущ,multiple translations
головешка,sitɬx,сущ
головки торбазов,t'ozmaʔn,сущ
головной мозг,aʔjuwʔaj,сущ
головы часть,čaqolt'əl,сущ
голод,pilwэpil,сущ
голодать,ksxlit- неп; pilwit- неп,multiple translations
голодающий,pilwэpilʔan,сущ
голодное место,ksxlətnom,сущ
голодный,ksxlət'in,прил
голос,golos,сущ
голубика,liŋil сущ; lэŋэlnom сущ,multiple translations
гольчик,fiɬikэčχ,сущ
гоняться,ančanzoʔɬ-,неп
гора,namud сущ Ю.; ŋэjŋэ сущ,multiple translations
горбиться,izusэ- неп; qэwčэʔɬ- неп; pэsčkɬ- неп; txap- неп,multiple translations
горбуша,gorбuskэʔ сущ; qэwuč сущ; qэfč сущ с.,multiple translations
гордиться,gordэʔɬ-,неп
гордый,gordoj,прил
горе,əmč'əmč',сущ
горевать,əmč'la-,неп
горелое место,k'wak'wum,сущ
гореть,k'wak'- п1; lu- неп,multiple translations
гореть сильно,krəwat- неп; okrat- неп,multiple translations
горечь,əmč'əmč',сущ
горизонт,gorizont,сущ
гористая местность,ŋэjŋal,сущ
гористый,kinziin,прил
горло,k'ik',сущ
горловой вырез одежды,k'ik',сущ
горностай,iʔnaq,сущ
горный,ŋэjŋэʔin,прил
горный баран,qtэp,сущ
горный хребет,ŋэjŋal,сущ
город,atnom сущ; gorod сущ,multiple translations
горсть,manzэsx сущ; pklэl- п2; pklэl сущ; pklэlsxэn- неп,multiple translations
гортань,k'ik'əlwič,сущ
горчить,krэ- неп; əmč'a- неп,multiple translations
горшок,aʔaɬo-,неп
горы,ŋэjŋal,сущ
горы подошва,čoɬxən,сущ
горький,əmč'laχ,прил
горько,əmč'aq(a) межд; əmč'q нареч,multiple translations
горячая,qilxэm,сущ
горячий,xkalaχ,прил
горячиться,čən-,неп
горячо,xkaq,нареч
горячо!,akika,межд
Господь,Аjэrэm,сущ
гостей принимать,qэz-,п2
гостинец,gostinцaʔ,сущ
гостиница,эtχэlnom,сущ
гостить,itχil- неп; nəmtэlэ- неп,multiple translations
гость,ʷt'uɬχ,сущ
государство,gosudarstwo,сущ
готовить,napraw-,п1
грабить,č'эqaɬil-,п1
грабли,graбʎaʔ,сущ
гражданин,graжdanin,сущ
грамотный,nmitqэn прил; ntitilaχ прил,multiple translations
граница,graniцaʔ,сущ
гребень,txəmtx,сущ
грелка,nəčoɬaɬnŏŋ,сущ
греметь,gromэʔɬ- неп; xӑrwӑrwa- неп; xirwirwi- неп; ənxэrwэrwэ- п1,multiple translations
грести,ɲэwɲэʔlkas неп; tэw- неп; tэjmэ- неп,multiple translations
греть,noma-,п1
греться,omkaw- неп; omɬxat- неп; sokara- неп; čo- неп,multiple translations
грех,эčk'эčk',сущ
грешить,эčk'эɬ-,неп
грешный,эčk'эlaχ,прил
гриб,qponom,сущ
гриб-дождевик,ipэsэsэqəl,сущ
гроза,groza,сущ
грозить,əntɬŋa-,п1
гром,xӑrwӑrwač,сущ
громкий,ŋačk'эllaχ,прил
громко,ŋačk'эlq,нареч
громко кричать,čxča-,неп
громогласно,tэpəl,нареч
грохот,xӑrwӑrwač,сущ
грубить,ɬэruŋ- неп; tajŋa- неп,multiple translations
грудина,tiŋrэl,сущ
грудная клетка,maɬaw сущ; nita сущ,multiple translations
грудной ласт нерпы,t'k'oxč,сущ
грудной ребёнок,miʎačχ,сущ
грудь,"wajatər nap.,",сущ
грудь животного,tiŋrэl,сущ
груз,imɬ,сущ
груз навьючивать,imɬti-,неп
грузило для сети,wač,сущ
грузить,niŋ-,п1
грузиться,niŋ- неп; niŋit- неп; niŋiʔɬ- неп,multiple translations
грузовая нарта,argis,сущ
грустить,makoʔɬ-,неп
грустный,makoʔlaχ,прил
грусть,makoʔɬэs,сущ
грызть,čxq'эl- неп; čxq'эl- п1; č'al- неп; č'al- п1,multiple translations
грызть орехи,kaɬimto- неп; kunэʔɬ- неп,multiple translations
грядка,grяdka,сущ
грязнуля,č'aɬaq сущ; əlk'si сущ,multiple translations
грязный,imɬlaχ прил; ič'k'эlaχ прил; fillalaχ прил; čiŋuqэlaχ прил; əlk'silaχ прил; əlk'si прил,multiple translations
грязь,kэɬč'al,сущ
грязью покрываться,kэɬč'alti-,неп
губа,k'эlfɬэŋ,сущ
гудеть,ənzlэt-,п1
гулять,ɬalэ-,неп
гурьбой,quɲэŋ,нареч
гусеница,lwəlf,сущ
густая масса,woχaqəl,сущ
густеть,č'imsqэ-,неп
густое раскидистое дерево,tomlaχ,прил
давать кому-либо работу,ɬinwэtat-,п1
давать указания,əlʔiɬ-,п1
давить,t'q'ni- п2; əmptqэ- п1,multiple translations
давить кого-либо что-либо,t'q'ni- п2; t'q'nэtэ- п2,multiple translations
давиться,oŋ-,неп
давиться пищей,it'эmɬ-,неп
давний,it'эnan прил; it'эnowan прил с.; it'эʔan прил с.,multiple translations
давно,qaʔt it'э,нареч
даже,tэwut нареч; tэɬwэ нареч,multiple translations
дай,qoɬ,межд
далекий,t'aɬʔan,прил
далёкий,mэč'aʔan,прил
далеко,mэč'aŋ нареч с.; t'aɬk нареч,multiple translations
далеко (где),mэč'ak,нареч
далеко (куда),mэč'akэ,нареч
далеко (туда),t'aɬkэ,нареч
далеко друг от друга,эʔlq,нареч
далеко от берега,χaqoq,нареч
дальневосточная лилия,opsanka,сущ
густой,məsxtlaχ прил;,multiple translations
дальний,mэč'aʔan прил; tomlaχ прил; ʷtəmlaχ прил; č'imslaχ прил,multiple translations
гусь,qsas сущ; fijas сущ; χэqsas сущ,multiple translations
гусь маленький,qэʔris,сущ
гусь-вожак,fijas,сущ
да,liɬi межд; ээ межд,multiple translations
давай!,qlэ,межд
давайте,xatta,межд
давать,zil- п1; inkil- п1,multiple translations
давать дорогу,ksota-,неп
давать знак,awэla-,п1
давать имя,χэlaʔɬ- t'aɬʔan,п1
дальше,t'aɬxkmiŋk,нареч
дальше от берега,nэnomk,нареч
дань,jasaq,сущ
дарить,zil-,п1
дающий мало,k'aŋansa,прил
два,kasχ,числ
рыбы,mantχzэsχ,сущ
дверца ловушки запора,čamčam,сущ
дверца ловушки-«морды»,sxzəm сущ; č'zэŋč сущ с.,multiple translations
дверь,nuč,сущ
дверь подпирать,usk'ŋ-,п1
двигать,tniɬ- п1; ənsč'эlla- п1,multiple translations
двигаться,sč'эl-,неп
двор,dwor,сущ
двухлентий лахтак,kэwэw,сущ
двухлетняя нерпа,əmpquwəl,сущ
деваться,iti-,неп
деверь,inpuɲɬχ,сущ
девка,d'эfka,сущ
девочка,ʎaŋэ сущ; ʎaŋэčχ сущ; эkuʎuшkačχ сущ,multiple translations
девочка-подросток,эkэčχ,сущ
девушка,d'эfka сущ; ʎaŋэ сущ; эkэčχ сущ,multiple translations
девять,čaʔaktanak,числ
дед,mitx,сущ
дедушка,d'эd'učχ сущ; tnakol сущ,multiple translations
дежурить,dэzuriʔɬ-,неп
дежурный,dэzurnoj,сущ
действительно вправду,iqax,нареч
действуй,qlэ,межд
декабрь,d'эkaбr,сущ
делать,sk- п1; č'эl- п2; č'эli- п2; ənsŋэt- п1,multiple translations
делать запасы,kaŋɬ-,неп
делать запасы сараны,toɬ-,неп
делать зарубки,kəlwa-,п1
делать назло,ɬisxэpi-,неп
делать по большому,poqɬ-,неп
делать привал,əlχt-,неп
делать стрелы,kaɬxɬ-,неп
делать толкушу,silqэʔɬ-,неп
помощи,ɬwa-,неп
делаться,sk-,неп
делаться мягче,əltsэ-,неп
делаться ниже,izusэ-,неп
делегат,delegat,сущ
делить,dэʎi-,п1
делить(ся),dэʎiʔɬ-,неп
дело,skəs,сущ
день,qɬχӑl,сущ
деньги,upk'эʔl,сущ
депутат,deputat,сущ
дергать,txnэtzo- неп; txnэtzo- п1,multiple translations
многократно,k'эmmatzo-,п2
дергаться,aŋqan it-,неп
дерева верхушка,oɬxэn,сущ
деревенский,atnoʔan,прил
деревня,atnom сущ; titqs сущ,multiple translations
дерево,uʔ,сущ
дерево раскидистое,tomlaχ,прил
деревушка,titqsčaχ,сущ
печи,opэčik,сущ
сетей,oxp,сущ
деревянная мешалка,sэtk',сущ
кладей,msэtэnəŋ,сущ
приготовления толкуши,ʷqэpx,сущ
деревянный крючок,qaʔnantaʔnŏŋ,сущ
деревяшка,upk'эl,сущ
держать,inənk- неп; ənlolat- п1; ənlu- п1; ənlut- п1,multiple translations
держать кого-либо за волосы,k'immat-,п2
